user,abs(Fine Arts),abs(Literature),abs(Social Studies),abs(Mathematics),abs(Biology),abs(History),abs(Other),abs(Physics),abs(Chemistry),abs(Astronomy),abs(Earth Science),Fine Arts,Literature,Social Studies,Mathematics,Biology,History,Other,Physics,Chemistry,Astronomy,Earth Science,abs(Predicted Fine Arts),abs(Predicted Literature),abs(Predicted Social Studies),abs(Predicted Mathematics),abs(Predicted Biology),abs(Predicted History),abs(Predicted Other),abs(Predicted Physics),abs(Predicted Chemistry),abs(Predicted Astronomy),abs(Predicted Earth Science),Predicted Fine Arts,Predicted Literature,Predicted Social Studies,Predicted Mathematics,Predicted Biology,Predicted History,Predicted Other,Predicted Physics,Predicted Chemistry,Predicted Astronomy,Predicted Earth Science
10,86.9761904762,77.125,83.4050632911,109.75,57.125,78.7045454545,120.0,82.5294117647,71.4285714286,133.0,93.0,48.880952381,57.0357142857,57.2784810127,20.25,27.0,38.25,120.0,57.8235294118,42.1428571429,133.0,-93.0,50.1767721481,49.5499323002,39.5187651418,37.6396207965,32.2503766232,34.1873393223,40.8008071063,29.9011471426,24.4987475877,43.2461247467,22.030956168,50.1767721481,49.5499323002,39.3168842016,37.6396207965,32.2503766232,34.1873393223,40.8008071063,29.9011471426,24.4987475877,43.2461247467,22.030956168
11,75.1538461538,97.0731707317,83.5483870968,137.0,85.7142857143,101.352941176,,81.6666666667,50.4285714286,90.5,,40.3846153846,82.6341463415,48.2580645161,137.0,19.4285714286,75.7058823529,,81.6666666667,21.2857142857,-90.5,,45.7278579101,48.2484075991,40.0036125184,38.0003843773,37.4342487991,37.0150729909,,27.3874472346,22.8423723884,14.4149418642,,45.7278579101,48.2484075991,40.0036125184,38.0003843773,37.4342487991,37.0150729909,,27.3874472346,22.8423723884,5.87910920218,
12,91.1333333333,85.4545454545,74.4,44.0,83.4,79.5555555556,,98.5,76.0,,,39.8,48.1818181818,8.8,44.0,19.8,-8.66666666667,,36.5,14.0,,,47.1742406384,50.282416635,40.8536248604,37.7056394027,35.1176479091,34.0025268868,,29.054481096,22.8871927453,,,47.1742406384,50.282416635,40.8536248604,37.7056394027,35.1176479091,34.0025268868,,29.054481096,22.8871927453,,
13,100.826086957,89.6,77.4230769231,87.0,87.1428571429,80.9333333333,102.5,64.625,78.5714285714,,,48.3043478261,29.0,37.1923076923,-87.0,33.4285714286,43.2,-32.5,-14.375,16.2857142857,,,46.4784421685,50.1042100246,39.5090846192,36.2583835079,37.3269337804,39.2165210789,43.8559268092,26.124429299,25.1103699859,,,46.4784421685,50.1042100246,39.5090846192,36.2583835079,37.3269337804,39.2165210789,43.8559268092,26.124429299,25.1103699859,,
14,94.6382978723,87.5973154362,83.275862069,55.6666666667,84.8181818182,83.7910447761,82.3333333333,61.6451612903,73.875,82.75,101.5,43.5319148936,55.9865771812,36.2413793103,-0.111111111111,33.7272727273,29.2835820896,63.0,36.6774193548,7.25,52.75,101.5,48.4443273913,47.6004453943,41.2429880177,36.3094064088,35.3543603985,34.1796989668,29.6677710583,27.0227844386,24.5875204025,25.9866652562,26.1440443271,48.4443273913,47.6004453943,41.2429880177,36.3094064088,35.3543603985,34.1796989668,29.6677710583,27.0227844386,24.5875204025,25.9866652562,26.1440443271
15,91.0,93.7727272727,94.0,,91.0,118.5,52.0,,102.0,89.0,,61.0,63.3181818182,43.6,,-91.0,-118.5,52.0,,102.0,89.0,,45.5884021161,46.9017823947,40.5936603947,,32.8130971466,34.7591817688,39.078224167,,22.9535585465,23.9799662253,,45.5884021161,46.9017823947,40.5936603947,,32.8130971466,34.7591817688,39.078224167,,22.9535585465,23.9799662253,
16,73.7272727273,76.8888888889,92.4736842105,,110.0,76.0,,38.0,,,,63.9090909091,65.1851851852,3.63157894737,,110.0,18.6,,11.0,,,,44.8137321262,46.9002516295,37.9111876148,,35.8842200016,35.773819838,,27.729604471,,,,44.8137321262,46.9002516295,37.9111876148,,35.8842200016,35.773819838,,27.729604471,,,
17,81.3333333333,114.090909091,96.2857142857,112.0,95.0,79.0,,77.0,,,,54.8,-61.1818181818,-15.4285714286,112.0,95.0,39.0,,-77.0,,,,45.2193270292,55.3088361895,32.263720515,38.4316192103,35.898487823,29.2095073299,,27.0436157394,,,,45.2193270292,55.3088361895,32.263720515,38.4316192103,35.898487823,29.2095073299,,27.0436157394,,,
18,94.0989010989,93.5448717949,86.3628318584,99.0,81.4285714286,84.5211267606,100.166666667,86.0,91.5416666667,92.3333333333,,61.0659340659,67.608974359,42.2920353982,-11.3333333333,24.9523809524,35.4225352113,100.166666667,39.4857142857,37.375,-56.3333333333,,49.609604277,47.7090796867,41.7177410892,34.490992341,35.1701520403,34.396656908,39.2070552822,27.5354463397,26.3197532738,29.2344504908,,49.609604277,47.7090796867,41.570502625,34.490992341,35.1701520403,34.396656908,39.2070552822,27.5354463397,26.3197532738,29.2344504908,
19,104.9,111.027972028,100.829268293,131.5,90.1666666667,96.56,103.0,112.6,90.0,,,42.94,58.006993007,4.39024390244,-131.5,-13.8333333333,12.92,103.0,29.4,-3.0,,,48.7538190025,50.2476970659,40.94856505,42.4331432289,34.2078760352,31.8156008593,37.0952030111,31.6619491743,16.1337694174,,,48.7538190025,50.2476970659,40.94856505,42.4331432289,34.2078760352,31.8156008593,37.0952030111,31.6619491743,16.1337694174,,
20,96.7407407407,94.8195876289,97.0863309353,113.6,83.0,91.7058823529,95.0,116.4,56.0,96.0,96.5,64.987654321,61.7164948454,49.3884892086,11.2,83.0,43.6823529412,70.0666666667,116.4,-56.0,96.0,3.5,48.5772911873,48.4160089281,41.301487814,36.9166438022,32.6488808484,35.6175747197,39.9936082415,29.8146221707,18.099211055,18.8771747861,17.3766883532,48.5772911873,48.4160089281,41.301487814,36.9166438022,32.6488808484,35.6175747197,39.9936082415,29.8146221707,18.099211055,18.8771747861,17.3766883532
21,79.76,93.7857142857,82.1515151515,43.0,76.5,64.7058823529,134.0,47.1538461538,59.0,45.0,87.0,39.2,58.3095238095,59.4848484848,-7.0,57.0,6.23529411765,134.0,29.3076923077,59.0,-45.0,-87.0,47.2007688498,48.8380221145,41.183112406,38.1919643823,36.0135711876,35.3493046531,34.4521597201,30.0260423632,20.8690792992,18.8340902747,20.913520979,47.2007688498,48.8380221145,41.183112406,38.1919643823,36.0135711876,35.3493046531,34.4521597201,30.0260423632,20.8690792992,18.8340902747,20.913520979
22,71.4705882353,64.724137931,61.6,35.0,68.75,72.8214285714,62.0,67.9411764706,71.1111111111,55.0,,69.8823529412,46.9655172414,53.48,-13.0,63.25,51.8214285714,62.0,58.0588235294,53.3333333333,55.0,,47.7251076539,50.3954251601,40.1362568852,37.3588416329,34.0038683391,36.4380059316,24.5895945116,30.0536279179,26.3050953861,21.4507531863,,47.7251076539,50.3954251601,40.1362568852,37.3588416329,34.0038683391,36.4380059316,24.5895945116,30.0536279179,26.3050953861,21.4507531863,
23,57.6428571429,57.392,60.14,83.0,55.4347826087,54.5714285714,85.2857142857,67.16,40.1764705882,73.5,42.0,24.9285714286,34.496,37.5,83.0,11.2608695652,11.6326530612,51.5714285714,34.68,0.764705882353,13.5,-42.0,49.9172432457,47.9506518783,39.913187217,31.7435281946,34.4535864918,35.8648899228,41.466096835,27.3961375017,23.7734522192,26.4473582626,29.0314231436,49.9172432457,47.9506518783,39.6754695731,31.7435281946,34.4535864918,35.8648899228,41.466096835,27.3961375017,23.7734522192,26.4473582626,29.0314231436
24,77.4,88.24375,83.3,,102.0,87.9454545455,86.6666666667,,,56.0,,43.45,60.33125,31.05,,102.0,62.2363636364,50.6666666667,,,56.0,,45.1776882538,47.5538715669,38.3239986506,,45.8326831493,35.625875176,33.206983039,,,23.5922056232,,45.1776882538,47.5538715669,38.3239986506,,45.8326831493,35.625875176,33.206983039,,,23.5922056232,
25,50.95,92.4166666667,42.3333333333,,,49.0,98.0,65.0,,,,35.05,17.75,-2.66666666667,,,49.0,-42.0,65.0,,,,46.3649651163,49.5783019951,37.7954744462,,,47.1251351246,33.3226668718,25.6699049461,,,,46.3649651163,49.5783019951,37.7954744462,,,47.1251351246,33.3226668718,25.6699049461,,,
26,85.1666666667,98.3695652174,102.0,,73.0,80.7777777778,,90.25,96.0,22.0,,57.1666666667,79.5434782609,46.0,,46.3333333333,29.0,,-5.75,26.6666666667,-22.0,,44.5630050531,48.255770638,39.4820641274,,35.556354589,34.2866640457,,29.256962664,24.7243571672,19.6477833962,,44.5630050531,48.255770638,39.4820641274,,35.556354589,34.2866640457,,29.256962664,24.7243571672,19.6477833962,
27,102.071428571,101.552238806,102.95,,86.5714285714,97.5,88.4444444444,97.8333333333,87.5714285714,93.0,111.0,45.8333333333,49.328358209,28.0833333333,,62.0,-24.7727272727,88.4444444444,-16.8333333333,-52.4285714286,-65.0,-111.0,48.9851736564,48.8486797221,40.1092898187,,34.6131026766,37.5916371909,36.1125807683,31.0526394208,24.469905006,21.4114032336,20.6550139109,48.9851736564,48.8486797221,40.1092898187,,34.6131026766,37.5916371909,36.1125807683,31.0526394208,24.469905006,16.7988108118,20.6550139109
28,86.3896103896,84.8392857143,84.9448818898,82.3333333333,50.2857142857,77.64,80.25,66.1052631579,56.7826086957,85.0,67.6666666667,42.5974025974,62.4107142857,48.3779527559,-30.1111111111,28.6428571429,37.44,34.75,17.4210526316,27.3913043478,50.2,4.33333333333,48.4188208701,48.5970481818,40.8543694542,36.8921041502,35.3377662531,33.3677296663,40.1501167825,26.2740489992,24.1999156053,15.959427491,24.6092877275,48.4188208701,48.5970481818,40.6658403156,36.8921041502,35.3377662531,32.3406652926,40.1501167825,26.2740489992,24.1999156053,15.959427491,24.6092877275
29,100.448275862,108.126760563,98.3076923077,,,96.6666666667,79.6666666667,,,,,19.4827586207,2.6338028169,-8.46153846154,,,-10.8148148148,-69.6666666667,,,,,44.234477372,48.9905091995,37.0366954839,,,29.9942985283,32.8598907858,,,,,44.234477372,48.9905091995,37.0366954839,,,29.9942985283,32.8598907858,,,,
30,61.1556886228,94.2010050251,87.6518518519,87.0909090909,89.2647058824,98.7432432432,89.2727272727,95.9047619048,93.8461538462,83.25,109.666666667,31.6586826347,54.0,50.037037037,3.09090909091,46.3823529412,50.4189189189,39.0909090909,15.5238095238,21.6153846154,83.25,109.666666667,46.097341764,47.8370392725,39.3027244006,39.8147176657,34.204548478,34.6664354022,36.4004105077,27.548006258,23.0050037938,17.9503143836,27.0433072458,46.097341764,47.8370392725,39.3027244006,39.8147176657,34.204548478,34.6664354022,36.4004105077,27.548006258,23.0050037938,17.9503143836,27.0433072458
31,103.651162791,109.0,93.9333333333,109.333333333,94.0833333333,94.9782608696,59.5,90.7272727273,87.6428571429,116.5,,41.7906976744,48.3650793651,27.4,20.0,-23.5833333333,15.5434782609,23.5,30.7272727273,27.3571428571,26.5,,47.6903648194,48.4191578416,41.8691465212,38.8549649471,34.685245535,34.1358214406,24.0760546538,26.3728442508,22.9583004554,19.8229708482,,47.6903648194,48.4191578416,41.8691465212,38.8549649471,34.685245535,34.1358214406,24.0760546538,26.3728442508,22.9583004554,10.4254479593,
32,35.5,19.0,25.0,,,29.3333333333,,14.0,,,,35.5,16.5384615385,25.0,,,29.3333333333,,14.0,,,,41.5198777348,47.1133222306,27.8230091055,,,42.0291173069,,24.8693914883,,,,41.5198777348,47.1133222306,27.8230091055,,,42.0291173069,,24.8693914883,,,
33,76.7183098592,64.2828947368,84.5789473684,73.6666666667,80.8666666667,92.298245614,65.4,86.4230769231,86.4705882353,104.0,60.0,53.5633802817,49.7434210526,58.2210526316,73.6666666667,54.4666666667,52.0175438596,0.2,57.6538461538,20.7058823529,104.0,-24.0,47.9303034209,49.6777740389,38.5948904695,32.5384625475,32.7047566091,33.9182183438,34.4199936892,27.6959530575,23.439720391,16.7270071867,24.4985424365,47.2186921673,49.6777740389,38.1198902353,32.5384625475,32.7047566091,32.7768165765,34.4199936892,27.6959530575,23.439720391,16.7270071867,24.4985424365
34,,80.25,68.5238095238,,,82.75,103.4,121.0,,,,,50.375,10.1428571429,,,-35.25,78.2,-121.0,,,,,47.3546306269,38.6943968579,,,31.1576120984,30.5102534343,28.6422159712,,,,,47.3546306269,38.6943968579,,,31.1576120984,30.5102534343,28.6422159712,,,
35,115.962962963,106.65,96.8888888889,26.0,79.5,93.4,118.0,87.5,122.5,,,23.2962962963,16.35,-26.3333333333,7.0,-79.5,-27.8,-118.0,-9.83333333333,3.5,,,45.4274399186,47.161782783,38.2195075371,37.7017568007,39.7609645842,36.3174800411,23.8712033599,25.8388021236,27.4271875028,,,45.4274399186,47.161782783,38.2195075371,37.7017568007,39.7609645842,36.3174800411,23.8712033599,25.8388021236,27.4271875028,,
36,17.0,19.4615384615,44.6666666667,,10.5,13.0,19.0,29.0,,,,17.0,19.4615384615,44.6666666667,,10.5,13.0,19.0,29.0,,,,41.0462418902,48.9353313439,41.0148753646,,39.29967698,25.3037172089,27.5240250652,27.0268762418,,,,41.0462418902,48.9353313439,41.0148753646,,39.29967698,25.3037172089,27.5240250652,27.0268762418,,,
37,120.777777778,108.045454545,99.3913043478,,99.0,105.222222222,,113.0,78.0,,,97.2222222222,50.5909090909,53.8260869565,,99.0,69.0,,-3.0,-78.0,,,48.4225574329,45.5325933239,42.2451622041,,35.298819867,36.297033965,,26.5826762655,30.5030320016,,,48.4225574329,45.5325933239,42.2451622041,,35.298819867,36.297033965,,26.5826762655,30.5030320016,,
38,97.25,,96.375,115.0,78.6666666667,45.0,116.5,93.0,66.8,104.0,,-17.75,,17.375,-115.0,-40.6666666667,-45.0,-1.5,-5.0,19.6,-4.0,,39.9242272668,,34.2744162084,35.0506054649,30.1712852752,37.748825266,30.914615116,21.4501326741,22.5118927309,12.0341231132,,39.9242272668,,34.2744162084,35.0506054649,30.1712852752,37.748825266,30.914615116,21.4501326741,22.5118927309,12.0341231132,
39,105.0,111.19047619,109.916666667,,80.0,101.5,,98.25,89.6666666667,,,-55.2857142857,39.6666666667,73.5833333333,,80.0,-56.75,,-4.25,18.3333333333,,,50.0092486863,49.1205997232,36.2653720259,,29.5379450612,38.9310120679,,25.6885769863,22.7283706249,,,50.0092486863,49.1205997232,36.2653720259,,29.5379450612,38.9310120679,,25.6885769863,22.7283706249,,
40,87.8,96.1666666667,51.9827586207,73.7,55.5,55.6666666667,57.0,76.5,,,,48.6,79.5,38.6034482759,59.5,-25.5,50.2,57.0,-24.5,,,,33.4390499428,48.8712025491,36.9728643297,35.9464325707,31.0650453236,31.5105994447,27.3516870198,26.1964125561,,,,33.4390499428,48.8712025491,36.9728643297,35.9464325707,31.0650453236,31.5105994447,27.3516870198,26.1964125561,,,
41,65.1333333333,84.6086956522,86.5625,118.0,71.0,44.25,,71.4,99.0,,,61.6666666667,56.6956521739,47.3125,118.0,71.0,-2.25,,66.6,99.0,,,48.4001197747,46.3800317678,42.1405078559,33.1942787223,29.4947067017,25.732738807,,28.1850821729,24.2833434641,,,48.4001197747,46.3800317678,42.1405078559,33.1942787223,29.4947067017,17.4669272521,,28.1850821729,24.2833434641,,
42,76.4719101124,87.4896551724,77.8504672897,102.0,62.4444444444,81.9722222222,104.25,74.2,68.9090909091,50.2,137.0,56.0449438202,57.5310344828,50.8224299065,102.0,41.3333333333,47.6666666667,104.25,39.96,28.0,30.6,137.0,47.050958539,47.535513745,39.5934926265,32.6010465584,31.1763598097,32.6695787261,38.2147480173,26.1330791373,21.7583572941,19.6586587239,34.5546454123,47.050958539,47.535513745,39.1827647137,32.6010465584,31.1763598097,32.2638202531,38.2147480173,26.1330791373,21.7583572941,19.6586587239,34.5546454123
43,90.7974683544,100.405660377,89.9896907216,112.0,65.4230769231,96.5,110.428571429,90.6086956522,87.4074074074,86.5,102.0,31.5316455696,41.2358490566,29.0618556701,23.3333333333,42.4230769231,15.7962962963,60.4285714286,-0.173913043478,49.4074074074,30.0,102.0,46.4009575486,46.7589758726,39.3194396314,35.2830097947,31.2241406409,30.5337915211,38.6820101428,25.3995360244,23.2903039269,22.8105615235,25.6399464392,45.6771309947,46.7589758726,39.3194396314,35.2830097947,31.2241406409,30.5337915211,38.6820101428,25.3995360244,23.2903039269,22.8105615235,25.6399464392
44,112.090909091,106.35,103.571428571,,103.666666667,103.090909091,37.0,107.5,102.0,,,57.7272727273,85.45,67.0952380952,,103.666666667,103.090909091,37.0,10.5,-102.0,,,43.0335446246,45.8667359301,38.2435178411,,37.4668427166,33.7731649899,28.4186980639,29.9052359219,23.6070676791,,,43.0335446246,45.8667359301,38.2435178411,,37.4668427166,33.7731649899,28.4186980639,29.9052359219,23.6070676791,,
45,118.0,73.3148148148,45.0,74.8,,,119.333333333,79.5,,31.0,,-118.0,54.8148148148,45.0,-20.8,,,119.333333333,79.5,,-31.0,,48.263694334,48.4150739245,36.695592342,31.711045369,,,30.358488955,24.7208227215,,19.7659284663,,48.263694334,48.4150739245,36.695592342,31.711045369,,,30.358488955,24.7208227215,,19.7659284663,
46,28.5,69.5494505495,67.2424242424,58.0,61.5,76.3636363636,20.0,56.7142857143,69.0,74.5,47.0,23.5,29.021978022,16.0909090909,-58.0,57.0,5.09090909091,20.0,3.71428571429,27.7777777778,48.5,47.0,49.3062341154,44.8399418244,39.7871755493,36.7863148696,29.4871150389,34.2817227307,34.6370528859,23.4227675862,22.4533574362,21.5418560728,15.1483725612,49.3062341154,44.8399418244,39.7871755493,36.7863148696,29.4871150389,34.2817227307,34.6370528859,23.4227675862,22.4533574362,21.5418560728,15.1483725612
47,103.489361702,104.843478261,88.5555555556,128.0,96.125,101.088235294,127.0,96.2380952381,99.6,110.666666667,93.0,62.5106382979,73.1217391304,32.0,128.0,70.875,47.5588235294,60.0,21.0,9.0,10.6666666667,93.0,44.6761444933,47.3203249129,39.0104678487,34.081629263,33.8497636099,35.0991802886,32.2848630285,26.5755956918,22.1236564067,24.848047259,22.5005956549,44.6761444933,47.3203249129,38.6551843483,34.081629263,33.8497636099,35.0991802886,32.2848630285,26.5755956918,22.1236564067,24.848047259,22.5005956549
48,84.5,106.5,87.4444444444,97.0,26.0,121.666666667,,78.75,70.4,91.0,79.0,84.5,48.5,13.1111111111,-97.0,13.0,-70.3333333333,,40.0,51.6,91.0,79.0,51.9965707949,45.1047691288,34.6171708305,36.5570481351,31.4064910934,33.1242188296,,25.3953862951,21.2415982152,24.1211696948,15.0622035385,51.9965707949,45.1047691288,34.6171708305,36.5570481351,31.4064910934,33.1242188296,,25.3953862951,21.2415982152,24.1211696948,15.0622035385
49,112.0,107.846153846,93.5185185185,60.0,96.0,91.7142857143,,90.8,79.3333333333,66.5,,45.8181818182,15.6923076923,-16.4074074074,34.0,4.8,31.2857142857,,-65.6,18.6666666667,33.5,,43.2069207982,46.2767390927,39.98482731,37.4396037082,33.2522720791,34.7124493695,,28.0459880965,20.3346192682,19.8676906146,,43.2069207982,46.2767390927,39.8327205562,37.4396037082,33.2522720791,34.7124493695,,28.0459880965,20.3346192682,19.8676906146,
50,123.419354839,103.514705882,99.8235294118,105.0,87.4285714286,105.4,,51.3846153846,52.8,127.0,110.0,-37.4193548387,-15.3970588235,-23.8235294118,-105.0,-28.5714285714,-32.76,,-51.3846153846,-34.4,-23.0,110.0,50.0088267573,48.0686910939,38.7980878433,30.9911109505,34.6833881697,33.0303483213,,26.6027870909,23.5977830137,31.2860683813,27.8681413372,50.0088267573,48.0686910939,38.7980878433,30.9911109505,34.6833881697,33.0303483213,,26.6027870909,23.5977830137,31.2860683813,27.8681413372
51,101.714285714,105.53968254,91.3614457831,80.0,54.8095238095,94.7551020408,78.0,58.0285714286,85.6666666667,55.0,39.6666666667,50.9047619048,59.0634920635,55.3855421687,74.6,41.9523809524,36.9591836735,78.0,37.4571428571,65.380952381,-55.0,-25.0,43.9594619122,46.4492117787,40.1657856703,36.3155610725,30.8963732115,33.06424836,37.9971949656,26.9977704833,23.5132811204,23.0405691989,23.9035208816,43.9594619122,46.4492117787,40.1657856703,36.3155610725,30.8963732115,32.0466216341,37.9971949656,26.9977704833,23.5132811204,23.0405691989,23.9035208816
52,39.7446808511,31.9795918367,31.3773584906,31.75,28.8571428571,40.7419354839,26.0,30.7692307692,32.4545454545,23.3333333333,30.0,32.8936170213,29.5918367347,27.9433962264,31.75,23.1428571429,35.2580645161,26.0,28.9230769231,27.5454545455,23.3333333333,30.0,47.0339866736,46.7649062252,37.8791953522,35.7585048923,34.5792094346,34.7185814674,34.7599188664,27.3021611762,23.5857299904,26.4128795372,14.2837852922,47.0339866736,46.7649062252,37.8791953522,35.7585048923,34.5792094346,34.7185814674,34.7599188664,27.3021611762,23.5857299904,26.4128795372,14.2837852922
53,114.181818182,110.1,107.266666667,65.0,69.75,91.8260869565,105.0,109.333333333,109.142857143,,13.0,-57.9090909091,24.9,-24.7333333333,65.0,-19.75,-45.652173913,-105.0,11.7777777778,-84.2857142857,,-13.0,43.2436407024,49.2970682223,41.374815817,31.8319781457,32.3302224627,37.5130171648,38.5095724021,28.4593740299,24.5117728863,,14.8467809818,43.2436407024,49.2970682223,41.374815817,31.8319781457,32.3302224627,37.5130171648,38.5095724021,28.4593740299,24.5117728863,,14.8467809818
54,89.9032258065,97.0178571429,88.9183673469,118.0,89.1428571429,100.5,,98.0,87.3333333333,,72.0,58.7419354839,66.5892857143,31.2448979592,118.0,-13.1428571429,55.3888888889,,61.3333333333,-10.0,,72.0,44.7612209667,45.4078804751,39.1981533849,38.1650641804,32.5947968699,36.7410888715,,26.8626991187,24.0043575627,,20.6829238399,44.7612209667,45.4078804751,38.7952956038,38.1650641804,32.5947968699,36.7410888715,,26.8626991187,24.0043575627,,20.6829238399
55,71.0,89.7857142857,88.125,116.0,89.0,97.0,,91.75,100.0,,,71.0,63.5,37.625,116.0,20.0,40.3333333333,,91.75,100.0,,,43.2718260693,49.6350531253,34.4340937539,32.5910955635,38.3906229811,25.6818469143,,25.8240946878,22.3710311392,,,43.2718260693,49.6350531253,34.4340937539,32.5910955635,38.3906229811,25.6818469143,,25.8240946878,22.3710311392,,
56,84.125,94.619047619,103.4,,86.5,109.285714286,,88.2,11.0,,,84.125,83.0,103.4,,41.5,109.285714286,,46.6,11.0,,,49.3701825295,47.547085194,41.5335600548,,41.2113290099,37.1263299865,,24.3690633387,16.7526306404,,,49.3701825295,47.547085194,41.5335600548,,41.2113290099,37.1263299865,,24.3690633387,16.7526306404,,
